image,href,adress,price,title
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201910\20191028\fiat-uno-1.0-evo-vivace-8v-flex-4p-manual-wmimagem14360414684.jpg,FIAT UNO 1.0 EVO VIVACE 8V FLEX 4P MANUAL,Rio do Sul,22490.0,FIAT UNO 1.0 EVO VIVACE 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201910\20191023\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem15472219733.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,São José,41900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201909\20190917\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem12031307560.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,Itajaí,40900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201909\20190929\fiat-toro-1.8-16v-evo-flex-endurance-at6-wmimagem10554215726.jpg,FIAT TORO 1.8 16V EVO FLEX ENDURANCE AT6,Criciúma,73900.0,FIAT TORO 1.8 16V EVO FLEX ENDURANCE AT6
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191223\fiat-palio-1.0-mpi-fire-economy-8v-flex-4p-manual-wmimagem14505365142.jpg,FIAT PALIO 1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL,Itajaí,20989.0,FIAT PALIO 1.0 MPI FIRE ECONOMY 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201909\20190919\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem20372137239.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,Criciúma,41900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201910\20191023\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem15471438851.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,São José,41900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191218\fiat-palio-1.0-mpi-fire-way-8v-flex-4p-manual-wmimagem15594107347.jpg,FIAT PALIO 1.0 MPI FIRE WAY 8V FLEX 4P MANUAL,Blumenau,25989.0,FIAT PALIO 1.0 MPI FIRE WAY 8V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200106\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem13130453454.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,Criciúma,41900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201911\20191120\fiat-500-1.4-cult-8v-flex-2p-manual-WMIMAGEM1051203083.jpg,FIAT 500 1.4 CULT 8V FLEX 2P MANUAL,São José,34900.0,FIAT 500 1.4 CULT 8V FLEX 2P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191213\fiat-freemont-2.4-precision-16v-gasolina-4p-automatico-wmimagem1618362432.jpg,FIAT FREEMONT 2.4 PRECISION 16V GASOLINA 4P AUTOMÁTICO,Florianópolis,57800.0,FIAT FREEMONT 2.4 PRECISION 16V GASOLINA 4P AUTOMÁTICO
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201912\20191218\fiat-punto-1.6-essence-16v-flex-4p-manual-wmimagem12261222990.jpg,FIAT PUNTO 1.6 ESSENCE 16V FLEX 4P MANUAL,Joinville,30900.0,FIAT PUNTO 1.6 ESSENCE 16V FLEX 4P MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2020\202001\20200102\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem17322783030.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,Florianópolis,39990.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
https://image.webmotors.com.br/_fotos/anunciousados/gigante/2019\201911\20191118\fiat-argo-1.0-firefly-flex-drive-manual-wmimagem09343681294.jpg,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,Florianópolis,41900.0,FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL
